,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Cavalcante,BR,-13.7975,-47.4583,68.29,54,3,3.56,clear sky
459,Shimoda,JP,34.6667,138.95,59.36,73,99,15.88,overcast clouds
460,Alushta,UA,44.6667,34.4167,56.43,74,100,6.73,overcast clouds
461,Opuwo,NA,-18.0607,13.84,71.65,45,84,5.19,broken clouds
462,Nea Kallikratia,GR,40.3167,23.0667,62.28,98,100,4.36,overcast clouds
463,Sambava,MG,-14.2667,50.1667,75.13,82,100,11.16,overcast clouds
464,Chirongui,YT,-12.9319,45.1483,80.53,78,85,7.9,light rain
465,Naze,JP,28.3667,129.4833,70.72,77,100,8.72,overcast clouds
466,Dvinskoy,RU,62.1535,45.1175,29.95,96,100,3.15,overcast clouds
467,Bonfim,BR,3.0833,-59.95,80.46,72,88,3.58,overcast clouds
468,Maniitsoq,GL,65.4167,-52.9,12.67,68,59,6.33,broken clouds
469,Kizukuri,JP,40.8061,140.3861,56.1,36,2,7.67,clear sky
470,Inhambane,MZ,-23.865,35.3833,68.86,80,0,5.06,clear sky
471,Stornoway,GB,58.2093,-6.3865,48.16,92,100,4.61,overcast clouds
472,Turukhansk,RU,65.8167,87.9833,18.23,80,75,14.12,broken clouds
473,Ambulu,ID,-8.345,113.6058,81.03,79,99,1.21,overcast clouds
474,Tarnow,PL,50.0138,20.987,41.72,85,13,2.35,few clouds
475,Pismo Beach,US,35.1428,-120.6413,80.78,44,0,20.71,clear sky
476,Mantiquil,PH,9.1667,123.05,77.23,70,74,5.68,moderate rain
477,Severodvinsk,RU,64.5635,39.8302,24.91,79,88,9.48,overcast clouds
478,Capiibary,PY,-24.8,-56.0333,69.01,97,99,5.75,overcast clouds
479,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.83,85,3,3.2,clear sky
480,Aruppukkottai,IN,9.5167,78.1,84.63,63,100,1.97,overcast clouds
481,Port Augusta,AU,-32.5,137.7667,64.76,52,5,11.7,clear sky
482,Jinchang,CN,38.4953,102.1739,43.41,43,100,3.69,overcast clouds
483,Tuatapere,NZ,-46.1333,167.6833,61.54,74,100,5.53,light rain
484,Ilulissat,GL,69.2167,-51.1,19.42,73,100,26.46,light shower snow
485,Kaohsiung,TW,22.6163,120.3133,87.75,70,40,4.61,scattered clouds
486,Kieta,PG,-6.2167,155.6333,86.09,65,55,3.78,broken clouds
487,Virginia Beach,US,36.8529,-75.978,57.04,69,0,4.61,clear sky
488,Balykshi,KZ,47.0667,51.8667,53.6,66,75,17.9,broken clouds
489,Muscat,OM,23.6139,58.5922,86.02,48,16,5.91,few clouds
490,Alvaraes,BR,-3.2208,-64.8042,72.79,99,100,2.37,light rain
491,Lumberton,US,34.6182,-79.0086,70.11,65,93,5.75,overcast clouds
492,Ola,RU,59.5833,151.2833,39.65,57,14,9.51,few clouds
493,Laguna,US,38.421,-121.4238,80.89,14,0,8.05,clear sky
494,Rosetta,EG,31.4044,30.4164,66.76,75,50,11.45,scattered clouds
495,Dukat,RU,62.55,155.55,25.57,86,100,8.1,overcast clouds
496,Ryotsu,JP,38.0833,138.4333,51.39,57,39,3.96,scattered clouds
497,Talnakh,RU,69.4865,88.3972,9.21,82,64,6.33,broken clouds
498,Manavalakurichi,IN,8.1333,77.3,83.34,82,95,11.59,overcast clouds
499,Nanakuli,US,21.3906,-158.1547,84.15,54,40,13.8,scattered clouds
500,Cassilandia,BR,-19.1133,-51.7342,72.28,49,5,4.07,clear sky
501,Lerwick,GB,60.1545,-1.1494,42.8,75,100,6.6,overcast clouds
502,Locri,IT,38.2414,16.2623,60.31,62,100,5.32,overcast clouds
503,Aqtobe,KZ,50.2797,57.2072,42.89,70,0,6.71,clear sky
504,Kloulklubed,PW,7.0419,134.2556,81.1,75,24,7.99,few clouds
505,Kiruna,SE,67.8557,20.2251,23.92,93,100,6.91,overcast clouds
506,Mitsamiouli,KM,-11.3847,43.2844,80.04,78,100,13.02,light rain
507,Kasungu,MW,-13.0333,33.4833,57.36,96,14,1.66,few clouds
508,Ewa Beach,US,21.3156,-158.0072,84.15,57,40,20.71,scattered clouds
509,Roald,NO,62.5833,6.1333,44.76,87,40,5.75,scattered clouds
510,Nybro,SE,56.7446,15.9071,41.81,85,99,3.47,overcast clouds
511,Semey,KZ,50.4111,80.2275,50.22,50,0,8.95,clear sky
512,Udachnyy,RU,66.4167,112.4,39.45,86,100,8.41,overcast clouds
513,Along,IN,28.1667,94.7667,75.38,61,100,2.17,overcast clouds
514,Verkhnyaya Inta,RU,65.9811,60.3094,23.13,84,100,14.03,overcast clouds
515,Konya,TR,38.1667,32.5,60.28,76,100,8.21,light rain
516,Guanica,PR,17.9716,-66.908,79.92,78,52,4.99,broken clouds
517,Issoudun,FR,47.0,1.8333,48.85,87,0,9.22,clear sky
518,Zyryanka,RU,65.75,150.85,25.34,79,93,2.98,overcast clouds
519,Tautira,PF,-17.7333,-149.15,79.99,76,25,19.37,light rain
520,Havelock,US,34.8791,-76.9013,64.38,72,68,3.74,broken clouds
521,Tiznit,MA,29.5833,-9.5,65.25,50,40,2.53,scattered clouds
522,Moroni,KM,-11.7022,43.2551,79.25,82,100,13.02,light rain
523,Namtsy,RU,62.7161,129.6658,35.73,74,67,3.06,broken clouds
524,Matay,EG,28.419,30.7792,81.55,10,59,7.96,broken clouds
525,Santa Cecilia,BR,-26.9608,-50.4269,53.96,99,100,4.16,overcast clouds
526,Kununurra,AU,-15.7667,128.7333,89.58,58,96,2.3,overcast clouds
527,Nahan,IN,30.55,77.3,85.41,20,0,1.21,clear sky
528,Nalut,LY,30.3333,10.85,66.36,34,100,22.84,overcast clouds
529,Tairua,NZ,-37.0167,175.85,61.9,80,81,11.36,broken clouds
530,Aksu,CN,41.1231,80.2644,60.89,30,95,5.57,overcast clouds
531,Whitehorse,CA,60.7161,-135.0538,41.81,70,100,4.61,shower rain
532,Margate,GB,51.3813,1.3862,46.87,74,31,7.0,scattered clouds
533,Antalaha,MG,-14.9003,50.2788,72.82,86,76,7.36,broken clouds
534,Bobcaygeon,CA,44.5462,-78.542,45.68,76,10,4.92,clear sky
535,Uvat,RU,59.1433,68.8953,33.01,63,11,5.68,few clouds
536,Ginir,ET,7.1333,40.7,56.68,87,29,3.6,scattered clouds
537,Toora-Khem,RU,52.4675,96.11,52.59,41,71,3.58,broken clouds
538,Nador,MA,35.174,-2.9287,59.25,88,75,3.44,broken clouds
539,Kamaishi,JP,39.2667,141.8833,47.14,83,21,3.98,few clouds
540,Abay,KZ,49.6311,72.8539,48.58,35,100,6.22,overcast clouds
541,Sibolga,ID,1.7427,98.7792,82.8,75,84,0.09,broken clouds
542,Santa Fe,AR,-31.6333,-60.7,57.99,60,100,4.0,light rain
543,El Astillero,ES,43.4009,-3.8205,57.87,93,100,3.0,overcast clouds
544,Porto Nacional,BR,-10.7081,-48.4172,80.6,68,95,3.06,overcast clouds
545,Alamogordo,US,32.8995,-105.9603,81.41,9,0,5.75,clear sky
546,Sorland,NO,67.667,12.6934,37.4,60,100,21.72,overcast clouds
547,Nyagan,RU,62.1406,65.3936,26.71,83,5,6.46,clear sky
548,Kazerun,IR,29.6195,51.6541,64.81,72,45,3.53,scattered clouds
549,Ulaangom,MN,49.9811,92.0667,54.09,24,18,2.68,few clouds
550,Palauig,PH,15.435,119.9045,87.66,59,100,4.07,overcast clouds
551,Obo,CF,5.3998,26.4869,67.66,98,100,4.34,overcast clouds
552,Buala,SB,-8.145,159.5921,84.22,73,100,4.72,light rain
553,Cervo,ES,43.6702,-7.4101,53.49,89,94,6.35,overcast clouds
554,Brandon,US,27.9378,-82.2859,74.86,94,100,6.91,moderate rain
555,Vila Do Maio,CV,15.1333,-23.2167,68.79,75,5,15.57,clear sky
556,Saint-Leu,RE,-21.15,55.2833,74.26,76,1,2.48,clear sky
557,Touros,BR,-5.1989,-35.4608,77.09,78,100,10.54,overcast clouds
558,San Ignacio,BZ,17.1561,-89.0714,86.14,74,20,6.91,few clouds
559,Aksarka,RU,66.5606,67.7975,22.03,90,50,13.56,scattered clouds
560,Shenjiamen,CN,29.9576,122.298,55.9,78,100,7.96,overcast clouds
561,Jumla,NP,29.2747,82.1838,63.46,42,34,0.76,scattered clouds
562,Bay Roberts,CA,47.5999,-53.2648,42.51,93,100,1.01,overcast clouds
563,Nampula,MZ,-15.1165,39.2666,61.38,98,18,4.0,few clouds
564,Mayo,US,38.8876,-76.5119,56.12,52,0,1.01,clear sky
565,Krasnaya Poyma,RU,55.0014,39.08,34.83,95,100,7.16,overcast clouds
566,Gat,IL,31.61,34.7642,80.78,27,55,11.05,broken clouds
567,Burriana,ES,39.889,-0.085,61.7,74,8,5.53,clear sky
568,Coihaique,CL,-45.5752,-72.0662,39.15,81,85,3.44,light rain
569,Lucea,JM,18.451,-78.1736,77.86,79,12,9.8,few clouds
570,Alta Gracia,AR,-31.6529,-64.4283,50.52,47,6,4.16,clear sky
571,Gazanjyk,TM,39.2446,55.5154,70.95,67,100,3.13,light rain
572,Comodoro Rivadavia,AR,-45.8667,-67.5,33.66,69,0,4.61,clear sky
573,Urumqi,CN,43.801,87.6005,65.35,17,0,17.9,clear sky
574,Quimper,FR,48.0,-4.1,48.78,81,0,10.36,clear sky
575,Yarada,IN,17.65,83.2667,84.52,84,20,6.91,mist
576,La Ronge,CA,55.1001,-105.2842,55.65,30,40,11.5,scattered clouds
577,Egvekinot,RU,66.3167,-179.1667,26.71,83,100,6.71,overcast clouds
578,Xai-Xai,MZ,-25.0519,33.6442,63.59,84,0,8.12,clear sky
579,Kutum,SD,14.2,24.6667,77.32,13,100,5.14,overcast clouds
580,Moranbah,AU,-22.0016,148.0466,80.24,51,33,15.55,scattered clouds
581,Qazanbulaq,AZ,40.6192,46.6519,61.7,72,100,1.03,overcast clouds
582,Xuddur,SO,4.1213,43.8894,73.85,83,39,7.56,scattered clouds
583,Sargatskoye,RU,55.6101,73.4972,49.86,73,32,13.24,scattered clouds
584,Vostok,RU,46.4856,135.8833,52.32,26,100,3.71,overcast clouds
585,Bodden Town,KY,19.2833,-81.25,80.01,74,20,4.61,few clouds
586,Buzmeyin,TM,38.0507,58.2056,69.53,56,40,11.5,scattered clouds
587,Bartica,GY,6.4,-58.6167,79.12,98,6,2.15,clear sky
588,Otane,NZ,-39.8833,176.6333,61.02,59,0,7.49,clear sky
589,Saint-Denis,FR,48.9167,2.3333,48.69,83,20,8.05,few clouds
590,Kendari,ID,-3.945,122.4989,80.38,88,100,2.39,heavy intensity rain
591,Jacqueville,CI,5.2052,-4.4146,81.5,83,96,10.18,light rain
592,Honolulu,US,21.3069,-157.8583,84.02,67,40,20.71,scattered clouds
593,Pishva,IR,35.308,51.7267,68.36,46,100,14.36,overcast clouds
594,Rockport,US,28.0206,-97.0544,79.05,88,40,17.27,scattered clouds
595,Ko Samui,TH,9.5357,99.9357,85.91,79,20,0.0,few clouds
596,Ottumwa,US,41.02,-92.4113,59.54,84,100,16.11,overcast clouds
597,Atherton,GB,53.5237,-2.4935,45.21,81,11,2.57,few clouds
598,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,37.94,85,89,4.76,overcast clouds
599,Springfield,US,37.2153,-93.2982,75.22,54,75,11.5,broken clouds
600,Mumford,GH,5.2618,-0.759,79.75,84,75,5.86,light rain
601,San Isidro,PE,-12.1167,-77.05,73.02,71,0,10.36,clear sky
602,Panguna,PG,-6.3164,155.4848,82.71,59,65,0.94,light rain
603,Ostrovnoy,RU,68.0531,39.5131,21.24,87,100,14.36,overcast clouds
604,Ulagan,RU,50.6321,87.9563,48.6,43,99,2.66,overcast clouds
605,Wairoa,NZ,-39.0333,177.3667,60.55,80,54,1.99,broken clouds
606,Gistel,BE,51.1495,2.9494,47.01,76,75,13.8,broken clouds
607,Dudinka,RU,69.4058,86.1778,9.63,92,100,10.71,overcast clouds
608,Mariental,NA,-24.6333,17.9667,61.68,35,0,2.21,clear sky
609,San Jeronimo,PE,-11.9472,-75.2829,46.9,85,59,4.05,broken clouds
610,Hami,CN,42.8,93.45,62.69,13,2,9.17,clear sky
611,Suntar,RU,62.1444,117.6319,41.86,84,100,10.51,overcast clouds
612,Porto Novo,BJ,6.4965,2.6036,76.82,83,45,4.81,scattered clouds
613,Leningradskiy,RU,69.3833,178.4167,21.27,87,98,16.28,overcast clouds
614,Mahibadhoo,MV,3.7833,72.9667,85.98,70,100,11.39,overcast clouds
615,Riachao Das Neves,BR,-11.7461,-44.91,72.5,53,100,1.61,overcast clouds
616,Humaita,BR,-7.5061,-63.0208,77.16,72,100,3.11,overcast clouds
617,Koslan,RU,63.4564,48.8989,28.13,84,100,1.28,light snow
618,Humberto De Campos,BR,-2.5983,-43.4611,75.13,93,72,3.02,heavy intensity rain
619,Nanortalik,GL,60.1432,-45.2371,37.96,87,100,4.83,overcast clouds
620,Kulhudhuffushi,MV,6.6221,73.07,85.6,72,66,10.94,broken clouds
621,Ahuimanu,US,21.4447,-157.8378,83.91,68,75,20.71,broken clouds
622,Atyrau,KZ,47.1167,51.8833,53.62,66,75,17.9,broken clouds
623,The Valley,AI,18.217,-63.0578,77.83,82,100,17.45,overcast clouds
624,Baglung,NP,28.2719,83.5898,79.52,32,6,1.45,clear sky
625,Flinders,AU,-34.5833,150.8552,67.05,79,100,5.99,light rain
626,Fort Nelson,CA,58.8053,-122.7002,45.99,39,20,3.44,few clouds
627,Miyang,CN,24.4042,103.4428,78.12,50,3,8.14,clear sky
628,Puri,IN,19.8,85.85,84.72,83,7,20.76,clear sky
629,Otautau,NZ,-46.15,168.0,65.44,66,98,3.09,overcast clouds
630,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,70.38,100,100,0.94,heavy intensity rain
631,Biltine,TD,14.5333,20.9167,86.0,18,77,4.85,broken clouds
632,Balabac,PH,7.9868,117.0645,85.1,72,100,9.62,overcast clouds
633,Lobito,AO,-12.3481,13.5456,76.78,87,97,3.78,overcast clouds
634,Raudeberg,NO,61.9875,5.1352,41.67,89,18,1.54,few clouds
635,Gandorhun,SL,7.5,-11.8333,74.71,89,74,1.23,moderate rain
636,Pinsk,BY,52.1229,26.0951,39.51,86,78,3.24,broken clouds
637,Belmonte,BR,-15.8631,-38.8828,74.97,85,2,4.63,clear sky
638,Warkworth,NZ,-36.4,174.6667,68.9,73,45,14.18,scattered clouds
639,Apatity,RU,67.5641,33.4031,21.18,91,99,4.43,overcast clouds
640,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,96,32,8.23,light rain
641,Bayir,TR,37.2687,28.2167,55.92,60,100,3.67,overcast clouds
642,Mascota,MX,20.5167,-104.7833,63.68,38,0,2.68,clear sky
643,Denpasar,ID,-8.65,115.2167,85.71,84,40,6.91,scattered clouds
644,Viamao,BR,-30.0811,-51.0233,59.4,90,0,3.44,clear sky
645,Shakawe,BW,-18.3667,21.85,59.59,61,0,4.18,clear sky
646,Yamada,JP,39.4667,141.95,48.24,79,3,2.75,clear sky
647,Goundam,ML,16.4145,-3.6708,82.69,14,97,8.61,overcast clouds
648,Tabou,CI,4.423,-7.3528,80.22,84,22,6.58,few clouds
649,Gazojak,TM,41.1875,61.4036,70.38,24,71,8.32,broken clouds
650,Ariquemes,BR,-9.9133,-63.0408,75.16,84,100,0.49,overcast clouds
651,Kajaani,FI,64.2273,27.7285,26.65,54,0,8.05,clear sky
652,Maldonado,UY,-34.6667,-54.9167,45.79,82,2,1.5,clear sky
653,Totma,RU,59.9747,42.7642,32.45,97,100,6.26,light snow
654,Kuala Terengganu,MY,5.3302,103.1408,80.55,89,20,0.0,few clouds
655,Orcotuna,PE,-11.9667,-75.3333,44.91,86,63,3.56,broken clouds
656,Sampit,ID,-2.5333,112.95,87.87,64,86,1.52,overcast clouds
657,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,80.53,78,0,3.44,clear sky
658,Kaa-Khem,RU,51.6833,94.7333,56.07,29,69,3.87,broken clouds
659,Yulara,AU,-25.2406,130.9889,67.84,56,75,17.27,broken clouds
660,Kibara,TZ,-2.15,33.45,69.39,78,89,1.74,light rain
661,Morehead,US,37.2711,-87.1764,68.99,69,40,0.0,scattered clouds
662,Port-Gentil,GA,-0.7193,8.7815,80.42,81,100,2.89,overcast clouds
663,Mnogovershinnyy,RU,53.9353,139.9242,31.01,96,100,7.36,light snow
664,Khani,GE,41.9563,42.9566,45.97,89,25,3.04,scattered clouds
665,Eureka,US,40.8021,-124.1637,60.21,57,99,5.01,overcast clouds
666,Warrensburg,US,38.7628,-93.7361,71.42,73,100,9.22,overcast clouds
667,Balikpapan,ID,-1.2675,116.8289,83.39,84,20,4.61,few clouds
668,Meghraj,IN,23.5,73.5,83.01,47,0,11.1,clear sky
669,San Policarpo,PH,12.1791,125.5072,82.78,77,100,6.4,overcast clouds
670,Katobu,ID,-4.9408,122.5276,79.18,90,93,4.23,moderate rain
671,Arinos,BR,-15.9169,-46.1056,73.31,47,88,2.33,overcast clouds
672,Dhrangadhra,IN,22.9833,71.4667,84.94,55,0,15.48,clear sky
673,Gamba,GA,-2.65,10.0,76.68,93,100,5.5,overcast clouds
674,Bougouni,ML,11.417,-7.479,83.28,48,99,5.28,overcast clouds
675,Amahai,ID,-3.3333,128.9167,85.14,66,80,2.73,broken clouds
676,Parabel,RU,58.6978,81.4825,38.48,86,100,8.93,moderate rain
677,Catende,BR,-8.6667,-35.7167,71.78,93,100,1.86,overcast clouds
678,Rawson,AR,-43.3002,-65.1023,48.6,55,20,9.55,few clouds
679,Sakakah,SA,29.9697,40.2064,69.37,45,72,8.99,broken clouds
680,Kyaikto,MM,17.3,97.0167,88.34,65,89,6.4,overcast clouds
681,Lock Haven,US,41.137,-77.4469,55.89,70,0,3.74,clear sky
682,Esmeraldas,BR,-19.7625,-44.3139,74.26,68,80,4.59,broken clouds
683,Asau,RO,46.4333,26.4,41.95,100,33,4.12,scattered clouds
684,Linjiang,CN,41.8069,126.9078,49.14,58,100,12.3,overcast clouds
685,Casale Monferrato,IT,45.1334,8.4571,56.43,77,85,4.65,overcast clouds
686,Pangnirtung,CA,66.1451,-65.7125,0.54,96,18,7.74,few clouds
687,Marneuli,GE,41.4759,44.8089,59.74,83,98,3.91,overcast clouds
